,title,urlToImage,url
0,Crypto and gaming collide in high-risk 'play-to-earn' economies - Reuters.com,https://www.reuters.com/resizer/fgS9z6INtf7qldWMHP8epEjAYNc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UZMEYIC44JP5VKE4SWSAGPWWCI.jpg,https://www.reuters.com/technology/crypto-gaming-collide-high-risk-play-to-earn-economies-2022-04-08/
1,"Walmart boosts industry-leading U.S. trucker pay to $110000, starts retraining program - Reuters.com",https://www.reuters.com/resizer/A5ytKcWzNOEQ2suUgfn6cFeOG6E=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HYMUMDULMRKWTJ6N3CUTWD63UI.jpg,https://www.reuters.com/business/retail-consumer/walmart-boosts-industry-leading-us-trucker-pay-110000-starts-retraining-program-2022-04-07/
2,Is a recession on the way? These unconventional economic indicators may provide some clues - CNBC,https://image.cnbcfm.com/api/v1/image/107043206-gettyimages-1239680477-SRIX6976.jpeg?v=1649342341&w=1920&h=1080,https://www.cnbc.com/2022/04/08/recession-signals-these-unusual-indicators-may-be-worth-monitoring.html
3,"Tesla Will Sell Its Cybertruck Next Year, Elon Musk Says - The New York Times",https://static01.nyt.com/images/2022/04/08/world/08tesla-01/08tesla-01-facebookJumbo.jpg,https://www.nytimes.com/2022/04/08/business/tesla-cybertruck-elon-musk.html
4,Jeep says its new electric Wrangler SUV concept goes 0-60 in 2 seconds - CNBC,https://image.cnbcfm.com/api/v1/image/107043571-1649358661871-CN022_007JP.jpg?v=1649358763&w=1920&h=1080,https://www.cnbc.com/2022/04/08/jeep-new-electric-wrangler-suv-concept-as-fast-as-a-tesla.html
5,Spirit Airlines to start talks with JetBlue on its $3.6 billion bid - Fox Business,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2021/08/0/0/spirit-airlines.png?ve=1&tl=1,https://www.foxbusiness.com/markets/spirit-airlines-to-start-talks-with-jetblue-on-its-3-6-billion-bid
6,Tesla is aiming to start production of its Optimus humanoid robot in 2023 - Electrek.co,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2021/10/Tesla-Bot-Hero-china.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,https://electrek.co/2022/04/07/tesla-production-optimus-humanoid-robot-2023/
7,"Twitter employee said on Slack that staff would be subject of HR investigation if they tweeted like Elon Musk, who now owns 9% of the company - Yahoo Finance",https://s.yimg.com/ny/api/res/1.2/JKHo4BhpkO31o_vgUiGm4A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://s.yimg.com/uu/api/res/1.2/11CpIaJ__CQLi7PFrNBOoQ--~B/aD0zMTUyO3c9NDIwMzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/b79aed757579db5c47873a7c78903e33,https://www.businessinsider.com/twitter-employee-staff-would-be-trouble-if-tweeted-like-musk-2022-4
8,'A sad day': Longtime Centene CEO Michael Neidorff dies at 79 - St. Louis Post-Dispatch,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/9/73/9730275f-db06-5cab-8e24-92cc30ddeade/624f452a9f5f6.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,https://www.stltoday.com/business/local/a-sad-day-longtime-centene-ceo-michael-neidorff-dies-at-79/article_83bca303-0142-51d6-b199-9f4da8b5ae1b.html
9,Ferrero recalls some Kinder chocolates from US over salmonella fears - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/220407225333-kinder-chocolates-recall.jpg?c=16x9&q=w_800,c_fill",https://www.cnn.com/2022/04/07/business/ferrero-kinder-recall/index.html
10,"Bitcoin 2022: Thiel calls Buffett 'sociopathic', Mexican billionaire has 60% in BTC - Cointelegraph",https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjItMDQvZDdmMGUwOGUtMzVmYS00Yjc3LThjMDAtZDk0MzY0MWFjZjg4LmpwZw==.jpg,https://cointelegraph.com/news/bitcoin-2022-thiel-calls-buffett-sociopathic-mexican-billionaire-has-60-in-btc
11,Amazon is planning to appeal Staten Island union’s victory - Engadget,https://s.yimg.com/os/creatr-uploaded-images/2022-04/b659a0b0-b6d1-11ec-bfff-9297e6007496,https://www.engadget.com/amazon-is-planning-to-appeal-staten-island-unions-victory-003723943.html
12,'Dirty Dozen' warning: Fruits and veggies rank on danger list - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/dirty-dozen-1-copy.jpg?quality=75&strip=all&w=1024,https://nypost.com/2022/04/07/dirty-dozen-warning-fruits-and-veggies-rank-on-danger-list/
13,Cash App data breach could have impacted more than 8 million users - Fox Business,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2022/04/0/0/GettyImages-1231864396.jpg?ve=1&tl=1,https://www.foxbusiness.com/economy/cash-app-data-breach-impacted-8-million-users
14,GM's Chevy Bolt EV and EUV are finally back in production following battery fire recall - The Verge,https://cdn.vox-cdn.com/thumbor/PS6sQBGkeCfzDCSXw6o1-bmIHPo=/0x75:1920x1080/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23374683/bolt_euv.png,https://www.theverge.com/2022/4/7/23013855/chevy-bolt-ev-euv-production-resumes-battery-fix-recall
15,Chinese tech stocks in Hong Kong slip as investors watch Covid situation in China - CNBC,https://image.cnbcfm.com/api/v1/image/106816845-1609213716683-gettyimages-1229866474-JAPAN_JPX.jpeg?v=1649319771&w=1920&h=1080,https://www.cnbc.com/2022/04/08/asia-stocks-federal-reserve-currencies-oil.html
16,Cramer's lightning round: I can't recommend UiPath - CNBC,https://image.cnbcfm.com/api/v1/image/103507374-104044814.jpg?v=1477478158&w=1920&h=1080,https://www.cnbc.com/2022/04/07/cramers-lightning-round-i-cant-recommend-uipath.html
17,"Alaska Airlines to cut 2% of flights through June, apologizes for recent disruptions - The Points Guy",https://thepointsguy.global.ssl.fastly.net/us/originals/2021/06/LAX-Planes-Zach-Griff-1.jpeg,http://thepointsguy.com/news/alaska-airlines-cuts-schedule/
18,Medicare Limits Payments for Biogen’s Alzheimer’s Drug - The Wall Street Journal,https://images.wsj.net/im-520557/social,https://www.wsj.com/articles/medicare-limits-payments-for-biogens-alzheimers-drug-11649365397
19,Don't Blame Big Oil For High Gasoline Prices - OilPrice.com,https://d32r1sh890xpii.cloudfront.net/article/718x300/2022-04-07_nh61xgsxgj.jpg,https://oilprice.com/Energy/Energy-General/Dont-Blame-Big-Oil-For-High-Gasoline-Prices.html
