,title,urlToImage,url
0,Power outage leaves passengers stranded on ride at Universal Studios - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/newspress-collage-21825820-1649394116661.png?w=1024,https://nypost.com/2022/04/08/universal-studios-power-outage-leaves-passengers-stranded-on-ride/
1,"Ricky Gervais Calls Chris Rock’s Oscars Joke “Tame,” Reveals Line He Would Have Used Instead - Deadline",https://deadline.com/wp-content/uploads/2020/01/nup_189708_0516-e1578275259967.jpg?w=1024,https://deadline.com/2022/04/ricky-gervais-chris-rock-oscars-joke-tame-1234997074/
2,Atlanta takes on the anti-CRT crowd with a darkly satirical spin on reparations - The A.V. Club,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/7a53702949a6c49f23a84b0a9f3a7fd5.jpg",https://www.avclub.com/atlanta-review-season-3-episode-4-the-big-payback-1848761087
3,Pink Floyd to release first new music in 28 years in support of Ukraine - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220407211942-01-pink-floyd-ukraine-song-super-tease.jpg,https://www.cnn.com/2022/04/07/entertainment/ukraine-pink-floyd-new-music-intl-hnk/index.html
4,Will Smith’s Oscars slap has been a ‘nightmare’ for his family: report - Yahoo News,https://s.yimg.com/ny/api/res/1.2/1wmxgXdBWgclecWq56k7jw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/baFYBjnLVSkgufB_VGF7Fw--~B/aD03MjA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fox_news_text_979/bf43ba40e11dc8bc352c1af191a5906e,https://news.yahoo.com/smith-oscars-slap-nightmare-family-001356208.html
5,Kris Jenner Reveals What She Told Kourtney Kardashian Before Her Vegas Wedding With Travis Barker - E! NEWS,"https://akns-images.eonline.com/eol_images/Entire_Site/202236/rs_1200x1200-220406074311-1200-kris_jenner-Nazarian_Institutes_ThinkBIG_2020_Conference-gj.jpg?fit=around%7C1080:566&output-quality=90&crop=1080:566;center,top",https://www.eonline.com/news/1326516/kris-jenner-reveals-what-she-told-kourtney-kardashian-before-her-vegas-wedding-with-travis-barker
6,Hip-hop pioneer Kidd Creole's tragic downfall ends with conviction in NYC stabbing death - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/kidd-creole.png?w=1024,https://nypost.com/2022/04/07/kidd-creoles-tragic-downfall-ends-with-conviction-in-nyc-stabbing-death/
7,Kardashians REVEAL Who Knew About Kravis' Secret Vegas 'Wedding' - Entertainment Tonight,https://i.ytimg.com/vi/uPumXfw31O4/hqdefault.jpg,https://www.youtube.com/watch?v=uPumXfw31O4
8,"Shane McMahon’s son says he might jump off a cage one day, just like his dad - Cageside Seats",https://cdn.vox-cdn.com/thumbor/i6Gq2BgIu5cm4n-lpkyDMW5nNZ4=/0x0:1200x628/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23375202/373_WM32_04022016MM_3642__9e1eaf8f02c7594766a018626bffd523.jpg,https://www.cagesideseats.com/wwe/2022/4/7/23015670/shane-mcmahon-son-declan-indiana-college-football-wwe-future-wrestling-career
9,Camila Cabello reveals her struggle with 'crippling' anxiety and her efforts to heal - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/220407194028-camila-cabello-file-032922.jpg?c=16x9&q=w_800,c_fill",https://www.cnn.com/2022/04/07/entertainment/camila-cabello-crippling-anxiety-cec/index.html
10,Doctor Strange Multiverse of Madness Trailer Breakdown & Easter Eggs (Nerdist News w/ Dan Casey) - Nerdist,https://i.ytimg.com/vi/X6W6gwGDcf8/maxresdefault.jpg,https://www.youtube.com/watch?v=X6W6gwGDcf8
11,'Dreams really do come true': Ashanti receives star on Hollywood Walk Of Fame - Daily Mail,https://i.dailymail.co.uk/1s/2022/04/07/23/56352329-0-image-a-48_1649369849425.jpg,https://www.dailymail.co.uk/tvshowbiz/article-10697815/Dreams-really-come-true-Ashanti-receives-star-Hollywood-Walk-Fame.html
12,Jennifer Lopez Sparks Engagement Speculation With Diamond Ring on That Finger - Entertainment Tonight,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2022-02/GettyImages-1339970849.jpg?h=fb41dbbd&itok=cNGIljmi,https://www.etonline.com/jennifer-lopez-sparks-engagement-speculation-with-diamond-ring-on-that-finger-182263
13,"Katrina Kaif in Bathing Suit is ""Oo La La!"" — Celebwell - Celebwell",https://celebwell.com/wp-content/uploads/sites/2/2022/04/GettyImages-1207186815.jpg?quality=82&strip=all,http://celebwell.com/news-katrina-kaif-in-bathing-suit-is-oo-la-la/
14,"Exclusive: BTS Almost Didn’t Perform at the Grammys, and Five Other Revelations From the Awards Show Producers - Rolling Stone",https://www.rollingstone.com/wp-content/uploads/2022/04/bts-grammy-podcast.jpg,https://www.rollingstone.com/music/music-news/podcast-bts-grammys-producers-interview-behind-the-scenes-1334164/
15,"Elizabeth Holmes's Twitter Account Is Still Online, Public - Vulture",https://pyxis.nymag.com/v1/imgs/22a/9dd/4e012d483375991615952a12fd395f546d-elizabeth-holmes.1x.rsocial.w1200.jpg,http://www.vulture.com/2022/04/elizabeth-holmes-twitter-still-online.html
16,‘Bridgerton’ Intimacy Coordinator Speaks Out on Criticisms of ‘Sexless’ Season 2 - IndieWire,https://www.indiewire.com/wp-content/uploads/2022/03/BRIDGERTON_204_Unit_04659R.jpg?w=780,https://www.indiewire.com/2022/04/bridgerton-sex-scenes-intimacy-coordinator-season-2-deleted-moments-1234715217/
17,"Jojo Siwa chops off her iconic ponytail, debuts new look in joyful selfie - USA TODAY","https://www.gannett-cdn.com/presto/2021/08/25/USAT/ea0c6f42-a639-4167-8c2f-0be04aa2a7a4-JoJo_Siwa_Press_Headshot.jpg?auto=webp&crop=2361,1328,x0,y120&format=pjpg&width=1200",https://www.usatoday.com/story/entertainment/celebrities/2022/04/07/internet-star-jojo-siwa-debuts-shorter-hairdo-on-instagram/9501674002/
18,BTS fans line up outside Allegiant Stadium in Las Vegas to buy merchandise - FOX5 Las Vegas,https://i.ytimg.com/vi/S7fO1nMeZ84/maxresdefault.jpg,https://www.youtube.com/watch?v=S7fO1nMeZ84
19,Why Mark Wahlberg's Hollywood Career Will End 'Sooner Rather than Later' - TooFab,https://images.toofab.com/image/68/16by9/2022/04/07/68c1ddbec5374e3ab72a76805dbc8fd7_xl.jpg,https://toofab.com/2022/04/07/mark-wahlberg-hollywood-career-will-end-soon/
