,title,urlToImage,url
0,2022 Masters: Tiger Woods' unforgettable 71 in return to golf even more remarkable than it seems - CBS Sports,https://sportshub.cbsistatic.com/i/r/2022/04/07/a3ad80e0-e7b2-4f8a-8b84-3dfaf6da0b6f/thumbnail/1200x675/9e70420680e182ae4ebdd767e0475a62/tiger-woods-r1-18-final-masters-2022-g.jpg,https://www.cbssports.com/golf/news/2022-masters-tiger-woods-unforgettable-71-in-return-to-golf-even-more-remarkable-than-it-seems/
1,"Walmart boosts industry-leading U.S. trucker pay to $110000, starts retraining program - Reuters.com",https://www.reuters.com/resizer/A5ytKcWzNOEQ2suUgfn6cFeOG6E=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HYMUMDULMRKWTJ6N3CUTWD63UI.jpg,https://www.reuters.com/business/retail-consumer/walmart-boosts-industry-leading-us-trucker-pay-110000-starts-retraining-program-2022-04-07/
2,What else is new? Ohtani makes more history - MLB.com,https://img.mlbstatic.com/mlb-images/image/private/t_2x1/t_w1536/v1649385312/mlb/ibgj73airjmjkk0d2oni.jpg,https://www.mlb.com/news/ohtani-first-to-throw-pitch-lead-off-to-start-season
3,"Nikola Jokic first with 2K points, 1K rebounds, 500 assists; leads Denver Nuggets to playoff berth - ESPN",https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0408%2Fr996821_1024x576_16%2D9.jpg,https://www.espn.com/nba/story/_/id/33694949/nikola-jokic-creates-new-statistical-club-denver-nuggets-clinch-playoff-berth
4,Borodianka razed: Ukraine's Zelenskiy says situation 'more dreadful' than Bucha - Reuters.com,https://www.reuters.com/resizer/B0a8pw8vxxlG-QMLZ6z6wCBWqag=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QDA37QIXN5PD5OW5U7JFE7JEME.jpg,https://www.reuters.com/world/europe/situation-ukraines-borodyanka-more-dreadful-than-bucha-zelenskiy-2022-04-07/
5,Former University of Kansas professor found guilty of hiding ties to China - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/newspress-collage-21826060-1649393322384.png?w=1024,https://nypost.com/2022/04/08/former-university-of-kansas-professor-feng-tao-found-guilty-of-hiding-ties-to-china/
6,"Tesla Will Sell Its Cybertruck Next Year, Elon Musk Says - The New York Times",https://static01.nyt.com/images/2022/04/08/world/08tesla-01/08tesla-01-facebookJumbo.jpg,https://www.nytimes.com/2022/04/08/business/tesla-cybertruck-elon-musk.html
7,"Tylor Megill, balanced offense propel Mets to win over Nationals in opener - New York Post ",https://nypost.com/wp-content/uploads/sites/2/2022/04/Robinson-Cano.jpg?quality=75&strip=all&w=1024,https://nypost.com/2022/04/08/tylor-megill-offense-propel-mets-to-win-over-nationals/
8,Spirit Airlines to start talks with JetBlue on its $3.6 billion bid - Fox Business,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2021/08/0/0/spirit-airlines.png?ve=1&tl=1,https://www.foxbusiness.com/markets/spirit-airlines-to-start-talks-with-jetblue-on-its-3-6-billion-bid
9,'Pretty damn lucky': Fox News' Benjamin Hall gives update after Ukraine attack - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/newspress-collage-21825441-1649385014747.png?w=1024,https://nypost.com/2022/04/07/fox-news-benjamin-hall-loses-limbs-after-ukraine-attack/
