,title,urlToImage,url
0,2022 Masters: Tiger Woods' unforgettable 71 in return to golf even more remarkable than it seems - CBS Sports,https://sportshub.cbsistatic.com/i/r/2022/04/07/a3ad80e0-e7b2-4f8a-8b84-3dfaf6da0b6f/thumbnail/1200x675/9e70420680e182ae4ebdd767e0475a62/tiger-woods-r1-18-final-masters-2022-g.jpg,https://www.cbssports.com/golf/news/2022-masters-tiger-woods-unforgettable-71-in-return-to-golf-even-more-remarkable-than-it-seems/
1,What else is new? Ohtani makes more history - MLB.com,https://img.mlbstatic.com/mlb-images/image/private/t_2x1/t_w1536/v1649385312/mlb/ibgj73airjmjkk0d2oni.jpg,https://www.mlb.com/news/ohtani-first-to-throw-pitch-lead-off-to-start-season
2,"Nikola Jokic first with 2K points, 1K rebounds, 500 assists; leads Denver Nuggets to playoff berth - ESPN",https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0408%2Fr996821_1024x576_16%2D9.jpg,https://www.espn.com/nba/story/_/id/33694949/nikola-jokic-creates-new-statistical-club-denver-nuggets-clinch-playoff-berth
3,"MLB Opening Day 2022 - What we saw, live updates and takeaways as baseball returns - ESPN",https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0408%2Fr996828_1296x729_16%2D9.jpg,https://www.espn.com/mlb/story/_/page/mlbmain_live/mlb-opening-day-2022-saw-live-updates-takeaways-baseball-returns
4,"Denver Pioneers, Minnesota State Mavericks advance to Frozen Four final - ESPN",https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0408%2Fr996721_1296x729_16%2D9.jpg,https://www.espn.com/college-sports/story/_/id/33693480/denver-pioneers-minnesota-state-mavericks-advance-frozen-four-final
5,"Tylor Megill, balanced offense propel Mets to win over Nationals in opener - New York Post ",https://nypost.com/wp-content/uploads/sites/2/2022/04/Robinson-Cano.jpg?quality=75&strip=all&w=1024,https://nypost.com/2022/04/08/tylor-megill-offense-propel-mets-to-win-over-nationals/
6,What Mike Mularkey said about Titans and Rooney Rule should worry NFL - Yahoo Sports,https://s.yimg.com/ny/api/res/1.2/0fakDy.rjc1PmMdi_a6W8A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-04/eae48c30-b6e7-11ec-b7f5-15aa6245219d,https://sports.yahoo.com/what-mike-mularkey-said-about-the-titans-and-the-rooney-rule-should-worry-the-nfl-032339002.html
7,Pro Football Focus Predicts Wild Chicago Bears Draft Trade - Sports Mockery,https://c3n7e3u2.stackpathcdn.com/wp-content/uploads/2022/04/Chris-Olave-1.jpg,https://www.sportsmockery.com/chicago-bears/pro-football-focus-predicts-wild-chicago-bears-draft-trade/
8,"Hornets-Magic scuffle leads to three ejections: Montrezl Harrell, Robin Lopez, Admiral Schofield tossed - CBS Sports",https://sportshub.cbsistatic.com/i/r/2022/04/08/8b505d14-41fe-4532-92ed-d820209c3d43/thumbnail/1200x675/6c27ee4abff3b618cb5335786cacb491/robin-lopez-admiral-schofield-usatsi.jpg,https://www.cbssports.com/nba/news/hornets-magic-scuffle-leads-to-three-ejections-montrezl-harrell-robin-lopez-admiral-schofield-tossed/
9,Auston Matthews breaks Toronto Maple Leafs' record; sets mark for most goals in season by US-born player - ESPN,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0408%2Fr996785_1024x683_3%2D2.jpg,https://www.espn.com/nhl/story/_/id/33694434/auston-matthews-breaks-toronto-maple-leafs-record-55th-goal
10,"Homecoming Kings: After raucous red-coated pomp, Wainwright and O'Neill lead Cardinals' 9-0 romp - St. Louis Post-Dispatch",https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/9/fe/9fee19b2-7b98-52d2-bc95-a0a03ab1afff/624f67396a30b.image.jpg?crop=1715%2C900%2C0%2C153&resize=1200%2C630&order=crop%2Cresize,https://www.stltoday.com/sports/baseball/professional/homecoming-kings-after-raucous-red-coated-pomp-wainwright-and-oneill-lead-cardinals-9-0-romp/article_9d4c68ff-5b2c-52fb-b29d-03f695b37ee8.html
11,Anthony Edwards with a CAREER-HIGH 49 PTS - ESPN,https://i.ytimg.com/vi/gEyHLS8Kk0I/hqdefault.jpg,https://www.youtube.com/watch?v=gEyHLS8Kk0I
12,Bumpers bent and tempers hot at Martinsville | Extended Highlights - NASCAR,https://i.ytimg.com/vi/QmKwjNRUCmQ/hqdefault.jpg,https://www.youtube.com/watch?v=QmKwjNRUCmQ
13,"TRAIL BLAZERS at PELICANS | FULL GAME HIGHLIGHTS | April 7, 2022 - NBA",https://i.ytimg.com/vi/e2VGUXzrtyw/hqdefault.jpg,https://www.youtube.com/watch?v=e2VGUXzrtyw
14,Huskers are hosting a very talented group of visitors this weekend for their spring game - Rivals.com - Nebraska,"https://images.rivals.com/image/upload/f_auto,q_auto,t_headline_primary/osfwzr6kmgsatzpbf0kv",https://nebraska.rivals.com/news/three-significant-visitors-added-to-spring-game-visit-weekend-for-nebraska
15,Fowler: Steelers Made Push To Sign S Kareem Jackson Before He Re-signed With Broncos - Steelers Depot,https://steelersdepot.com/wp-content/uploads/2022/04/kareem-jackson-broncos-2021.jpg,https://steelersdepot.com/2022/04/fowler-steelers-made-push-to-sign-s-kareem-jackson-before-he-re-signed-with-broncos/
16,"Man charged with murder, arson in connection with death of 23-year-old brother of Browns LB Jeremiah Owusu-Ko - cleveland.com",https://www.cleveland.com/resizer/CDE_ENsk1ItPLlltWtd0Rs51UQQ=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/UYAGHV27N5ENHO4Q6LWYSTAZXI.JPG,https://www.cleveland.com/browns/2022/04/man-charged-with-murder-arson-in-connection-with-death-of-23-year-old-brother-of-browns-lb-jeremiah-owusu-koramoah.html
17,Recap: Depleted Penguins no match for Rangers - PensBurgh,https://cdn.vox-cdn.com/thumbor/qpPCrWF_UVdGrNzqmAX8t5bH4KE=/0x0:2760x1445/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23375442/1390182348.jpg,https://www.pensburgh.com/2022/4/7/23015861/recap-rangers-penguins-sidney-crosby-illness-pens-nyr-igor-shesterkin
18,Instant observations: Sixers lose to Raptors team they might see in playoffs - PhillyVoice.com,https://media.phillyvoice.com/media/images/USATSI_18040743.2e16d0ba.fill-1200x630-c0.jpg,https://www.phillyvoice.com/instant-observations-sixers-raptors-joel-embiid-james-harden-matisse-thybulle/
19,Is this the most fun Sounders team yet? - Sounder At Heart,https://cdn.vox-cdn.com/thumbor/kaCW4qhFV-uHWf6BZnA3zBhj7-k=/0x128:2400x1385/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23373260/SEA_NYCFC_CCL_02130.jpg,https://www.sounderatheart.com/2022/4/7/23015516/postgame-pontifications-seattle-sounders-nycfc-ccl-winning-style
